episodes,total reward
1,0.0225834310019
1,0.117551228024
1,0.241283628108
1,-0.718132207911
1,-3.71813220791
1,-6.71813220791
1,-9.71813220791
1,-12.7181322079
1,-15.7181322079
1,-18.7181322079
1,-21.7181322079
1,-24.7181322079
1,-27.7181322079
1,-30.7181322079
1,-33.7181322079
1,-36.7181322079
1,-39.7181322079
1,-42.7181322079
1,-45.7181322079
1,-48.7181322079
1,-51.7181322079
1,-54.7181322079
1,-57.7181322079
1,-60.7181322079
1,-63.7181322079
1,-66.7181322079
1,-69.7181322079
1,-72.7181322079
1,-75.7181322079
1,-78.7181322079
1,-81.7181322079
1,-84.7181322079
1,-87.7181322079
2,0.0225702311431
2,0.117576339056
2,0.241832464939
2,-0.716570093938
2,-3.71657009394
2,-6.71657009394
2,-9.71657009394
2,-12.7165700939
2,-15.7165700939
2,-18.7165700939
2,-21.7165700939
2,-24.7165700939
2,-27.7165700939
2,-30.7165700939
2,-33.7165700939
2,-36.7165700939
2,-39.7165700939
2,-42.7165700939
2,-45.7165700939
2,-48.7165700939
2,-51.7165700939
2,-54.7165700939
2,-57.7165700939
2,-60.7165700939
2,-63.7165700939
2,-66.7165700939
2,-69.7165700939
2,-72.7165700939
2,-75.7165700939
2,-78.7165700939
2,-81.7165700939
2,-84.7165700939
2,-87.7165700939
3,0.0245269309197
3,0.159282442739
3,0.497505715996
3,1.12780054332
3,2.12953171517
3,3.56753398902
3,5.48715396407
3,7.9107332265
3,10.8364690371
3,14.2394666053
3,18.0744080889
3,22.2790788144
3,26.7781167334
3,31.4865999049
3,36.3130304277
3,41.1616104356
3,45.9338920918
3,50.529958623
3,54.8491995419
3,58.7907446848
3,62.2536841824
3,65.1371930015
3,67.3406162396
3,68.7635334957
3,69.3058170113
3,66.3058170113
3,63.3058170113
3,60.3058170113
3,57.3058170113
3,54.3058170113
3,51.3058170113
3,48.3058170113
3,45.3058170113
3,42.3058170113
3,39.3058170113
3,36.3058170113
3,33.3058170113
3,30.3058170113
3,27.3058170113
3,24.3058170113
3,21.3058170113
3,18.3058170113
4,0.0403593874494
4,0.262001073179
4,0.819139062971
4,1.86461068209
4,3.54912261633
4,6.02052683227
4,9.42312270889
4,13.8969338038
4,19.5771835221
4,26.5938368249
4,35.0711592301
4,45.1272452736
4,56.8736264647
4,70.415190433
4,85.8501113316
4,103.269631554
4,122.758092159
4,144.393032302
4,168.245365323
4,194.379565619
4,222.853947029
4,253.720921239
4,287.02713827
4,322.813682871
4,361.11632146
